#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
4.3870000000e+00	1.4322282442e+04	6.2937700255e+00                 	3.3620113574e+00                 	2.9317586681e+00                 	5.3418083975e-01                 	9.7081177771e-01                 
4.4440000000e+00	1.4138580799e+04	6.2938583960e+00                 	3.3624299921e+00                 	2.9314284039e+00                 	5.3423985424e-01                 	9.7073674050e-01                 
4.5050000000e+00	1.3947137197e+04	6.2939529853e+00                 	3.3636606567e+00                 	2.9302923285e+00                 	5.3442735664e-01                 	9.7047823758e-01                 
4.5470000000e+00	1.3818309451e+04	6.2940198261e+00                 	3.3649109403e+00                 	2.9291088858e+00                 	5.3462032743e-01                 	9.7020497226e-01                 
4.5600000000e+00	1.3778915147e+04	6.2940399737e+00                 	3.3656085244e+00                 	2.9284314493e+00                 	5.3472944857e-01                 	9.7005015723e-01                 
4.5800000000e+00	1.3718745212e+04	6.2940735007e+00                 	3.3665757014e+00                 	2.9274977993e+00                 	5.3488026491e-01                 	9.6983156134e-01                 
4.7190000000e+00	1.3314654179e+04	6.2943035252e+00                 	3.3651831367e+00                 	2.9291203885e+00                 	5.3463947572e-01                 	9.7017487654e-01                 
4.9040000000e+00	1.2812368082e+04	6.2945957959e+00                 	3.3604519164e+00                 	2.9341438794e+00                 	5.3386301923e-01                 	9.7129646265e-01                 
5.0000000000e+00	1.2566370614e+04	6.2947446474e+00                 	3.3577972522e+00                 	2.9369473952e+00                 	5.3342866792e-01                 	9.7191880174e-01                 
5.1000000000e+00	1.2319971191e+04	6.2948969205e+00                 	3.3550728217e+00                 	2.9398240988e+00                 	5.3298296446e-01                 	9.7255402523e-01                 
5.2000000000e+00	1.2083048668e+04	6.2950475658e+00                 	3.3525505104e+00                 	2.9424970555e+00                 	5.3256952792e-01                 	9.7313995196e-01                 
5.2630000000e+00	1.1938410236e+04	6.2951417854e+00                 	3.3507767540e+00                 	2.9443650314e+00                 	5.3227979103e-01                 	9.7354759331e-01                 
5.4000000000e+00	1.1635528347e+04	6.2953416851e+00                 	3.3469623752e+00                 	2.9483793099e+00                 	5.3165698426e-01                 	9.7441946909e-01                 
5.5560000000e+00	1.1308828847e+04	6.2955618173e+00                 	3.3428852152e+00                 	2.9526766021e+00                 	5.3099076973e-01                 	9.7534729983e-01                 
5.7140000000e+00	1.0996124094e+04	6.2957728210e+00                 	3.3396814440e+00                 	2.9560913770e+00                 	5.3046409693e-01                 	9.7609060170e-01                 
5.7470000000e+00	1.0932982960e+04	6.2958149559e+00                 	3.3391264717e+00                 	2.9566884842e+00                 	5.3037239740e-01                 	9.7622351252e-01                 
5.7800000000e+00	1.0870562815e+04	6.2958552297e+00                 	3.3389037280e+00                 	2.9569515017e+00                 	5.3033362525e-01                 	9.7628905260e-01                 
5.8140000000e+00	1.0806992272e+04	6.2958969472e+00                 	3.3389274753e+00                 	2.9569694719e+00                 	5.3033388305e-01                 	9.7630359094e-01                 
5.8480000000e+00	1.0744160922e+04	6.2959356637e+00                 	3.3398537357e+00                 	2.9560819281e+00                 	5.3047774216e-01                 	9.7613405614e-01                 
5.8820000000e+00	1.0682055946e+04	6.2959778718e+00                 	3.3419189589e+00                 	2.9540589129e+00                 	5.3080220848e-01                 	9.7571846103e-01                 
6.0610000000e+00	1.0366581929e+04	6.2962249686e+00                 	3.3505801983e+00                 	2.9456447703e+00                 	5.3215700123e-01                 	9.7392790617e-01                 
6.1350000000e+00	1.0241540843e+04	6.2963344438e+00                 	3.3544206326e+00                 	2.9419138113e+00                 	5.3275769617e-01                 	9.7310023888e-01                 
6.2500000000e+00	1.0053096491e+04	6.2965078708e+00                 	3.3580618561e+00                 	2.9384460146e+00                 	5.3332131478e-01                 	9.7230081319e-01                 
6.2890000000e+00	9.9907541854e+03	6.2965670958e+00                 	3.3586366317e+00                 	2.9379304641e+00                 	5.3340758235e-01                 	9.7217253949e-01                 
6.3290000000e+00	9.9276114824e+03	6.2966259977e+00                 	3.3592655127e+00                 	2.9373604850e+00                 	5.3350246845e-01                 	9.7203656838e-01                 
6.3690000000e+00	9.8652619048e+03	6.2966863233e+00                 	3.3598097249e+00                 	2.9368765984e+00                 	5.3358378557e-01                 	9.7191558749e-01                 
6.4100000000e+00	9.8021611656e+03	6.2967487060e+00                 	3.3596501676e+00                 	2.9370985383e+00                 	5.3355315965e-01                 	9.7194960484e-01                 
6.4520000000e+00	9.7383529250e+03	6.2968101599e+00                 	3.3589983573e+00                 	2.9378118026e+00                 	5.3344443806e-01                 	9.7209844607e-01                 
6.4940000000e+00	9.6753700449e+03	6.2968698902e+00                 	3.3583771538e+00                 	2.9384927364e+00                 	5.3334072521e-01                 	9.7224384036e-01                 
6.5790000000e+00	9.5503652640e+03	6.2969887916e+00                 	3.3572097820e+00                 	2.9397790096e+00                 	5.3314526881e-01                 	9.7252082959e-01                 
6.6670000000e+00	9.4243067454e+03	6.2971072454e+00                 	3.3570545546e+00                 	2.9400526907e+00                 	5.3311058933e-01                 	9.7258255168e-01                 
6.7570000000e+00	9.2987794986e+03	6.2972307384e+00                 	3.3577616066e+00                 	2.9394691318e+00                 	5.3321241449e-01                 	9.7244871329e-01                 
6.8970000000e+00	9.1100265437e+03	6.2974258431e+00                 	3.3584580183e+00                 	2.9389678249e+00                 	5.3330648139e-01                 	9.7232091511e-01                 
7.0420000000e+00	8.9224443442e+03	6.2976271932e+00                 	3.3582531435e+00                 	2.9393740497e+00                 	5.3325689827e-01                 	9.7239203261e-01                 
7.1430000000e+00	8.7962835044e+03	6.2977642044e+00                 	3.3582028276e+00                 	2.9395613768e+00                 	5.3323730750e-01                 	9.7242559002e-01                 
7.2460000000e+00	8.6712466287e+03	6.2979052772e+00                 	3.3582299270e+00                 	2.9396753502e+00                 	5.3322966593e-01                 	9.7243874780e-01                 
7.3530000000e+00	8.5450636573e+03	6.2980521505e+00                 	3.3575547557e+00                 	2.9404973949e+00                 	5.3311002758e-01                 	9.7260600693e-01                 
7.4630000000e+00	8.4191147088e+03	6.2981983718e+00                 	3.3568196535e+00                 	2.9413787183e+00                 	5.3298093444e-01                 	9.7279327354e-01                 
7.5760000000e+00	8.2935392122e+03	6.2983483358e+00                 	3.3564809990e+00                 	2.9418673367e+00                 	5.3291447537e-01                 	9.7289263036e-01                 
7.6920000000e+00	8.1684676380e+03	6.2985020981e+00                 	3.3565887989e+00                 	2.9419132992e+00                 	5.3291858073e-01                 	9.7289329510e-01                 
7.8120000000e+00	8.0429919447e+03	6.2986643371e+00                 	3.3565203649e+00                 	2.9421439722e+00                 	5.3289398914e-01                 	9.7292740118e-01                 
7.9370000000e+00	7.9163226750e+03	6.2988337596e+00                 	3.3558125575e+00                 	2.9430212021e+00                 	5.3276728448e-01                 	9.7310128856e-01                 
8.0650000000e+00	7.7906823400e+03	6.2990076453e+00                 	3.3542285272e+00                 	2.9447791181e+00                 	5.3250110431e-01                 	9.7346625929e-01                 
8.1970000000e+00	7.6652254571e+03	6.2991849397e+00                 	3.3514210995e+00                 	2.9477638402e+00                 	5.3204043565e-01                 	9.7409865708e-01                 
8.3330000000e+00	7.5401239736e+03	6.2993610485e+00                 	3.3475910444e+00                 	2.9517700041e+00                 	5.3141755467e-01                 	9.7495279539e-01                 
8.4750000000e+00	7.4137879731e+03	6.2995342900e+00                 	3.3444630869e+00                 	2.9550712030e+00                 	5.3090640244e-01                 	9.7565742865e-01                 
8.6960000000e+00	7.2253740883e+03	6.2998072331e+00                 	3.3403893816e+00                 	2.9594178516e+00                 	5.3023676090e-01                 	9.7656773957e-01                 
8.9290000000e+00	7.0368297762e+03	6.3000873859e+00                 	3.3357501804e+00                 	2.9643372054e+00                 	5.2947681137e-01                 	9.7758822692e-01                 
9.0910000000e+00	6.9114347236e+03	6.3002773825e+00                 	3.3326333275e+00                 	2.9676440550e+00                 	5.2896612723e-01                 	9.7826777714e-01                 
9.2590000000e+00	6.7860301406e+03	6.3004749524e+00                 	3.3291427581e+00                 	2.9713321943e+00                 	5.2839552308e-01                 	9.7901404736e-01                 
9.5240000000e+00	6.5972126283e+03	6.3007789413e+00                 	3.3218280700e+00                 	2.9789508713e+00                 	5.2720911191e-01                 	9.8052891873e-01                 
9.8040000000e+00	6.4087977429e+03	6.3010788087e+00                 	3.3102883265e+00                 	2.9907904823e+00                 	5.2535263039e-01                 	9.8280863374e-01                 
1.0000000000e+01	6.2831853072e+03	6.3012417801e+00                 	3.2987364538e+00                 	3.0025053262e+00                 	5.2350577378e-01                 	9.8498170634e-01                 
1.0200000000e+01	6.1599855953e+03	6.3012957143e+00                 	3.2875598081e+00                 	3.0137359062e+00                 	5.2172758702e-01                 	9.8704112326e-01                 
1.0310000000e+01	6.0942631495e+03	6.3012722624e+00                 	3.2825250532e+00                 	3.0187472092e+00                 	5.2093052269e-01                 	9.8798248681e-01                 
1.0420000000e+01	6.0299283178e+03	6.3011853340e+00                 	3.2790773729e+00                 	3.0221079611e+00                 	5.2039056131e-01                 	9.8871286415e-01                 
